Date,Team,Acquired,Relinquished,Notes
1995-04-03,Falcons,&bull; Bobby Evans (b),,signed to a 1-year contract
1995-04-03,Giants,&bull; Herschel Walker,,signed to a 3-year contract
1995-04-03,Packers,&bull; James Willis,,signed
1995-04-03,Packers,&bull; past considerations (?),&bull; Terrell Buckley,trade with Dolphins
1995-04-03,Packers,&bull; Rickey Dixon,,signed
1995-04-03,Raiders,&bull; John Guy,,hired as defensive line coach
1995-04-03,Seahawks,&bull; Ricky Proehl,&bull; 1995 fourth round pick (#106-Melvin Hayes),trade with Cardinals
1995-04-03,Broncos,,&bull; Richard Harvey (b),lost unrestricted free agent (to Saints)
1995-04-03,Saints,&bull; Richard Harvey (b),,signed unrestricted free agent (from Broncos) to a 2-year contract
1995-04-04,Bears,&bull; 1995 second round pick (#56-Todd Sauerbrun)<br/>&bull; 1995 third round pick (#87-Evan Pilgrim),&bull; Trace Armstrong,trade with Dolphins
1995-04-04,Dolphins,&bull; Trace Armstrong,&bull; 1995 second round pick (#56-Todd Sauerbrun)<br/>&bull; 1995 third round pick (#87-Evan Pilgrim),trade with Bears
1995-04-05,Redskins,&bull; Matt Turk,,signed free agent
1995-04-05,Redskins,&bull; Trent Green,,signed free agent
1995-04-06,Falcons,Eric Metcalf,,re-signed
1995-04-06,Vikings,&bull; Anthony Parker,,signed to a multi-year contract
1995-04-06,Falcons,,&bull; Darion Conner,lost unrestricted free agent (to Panthers)
1995-04-06,Panthers,&bull; Darion Conner,,signed unrestricted free agent (from Falcons)
1995-04-07,Colts,&bull; Michael Cofer / Mike Cofer (L.),,signed
1995-04-07,Eagles,,&bull; George Azar,resigned as assistant to the president
1995-04-07,Eagles,&bull; Daniel Stubbs,,signed
1995-04-07,Falcons,&bull; Elbert Shelley,,signed
1995-04-09,Vikings,&bull; Keith Washington,,signed free agent
1995-04-10,Buccaneers,&bull; Charles Wilson,,signed to a 2-year contract
1995-04-10,Packers,&bull; Charles Jordan,,re-signed
1995-04-10,Raiders,&bull; Pat Swilling,,signed unrestricted free agent to a 1-year contract
1995-04-10,Saints,&bull; Frank Warren (a),,hired as trainee in football operations
1995-04-10,Bills,,&bull; Darryl Talley,lost free agent (to Falcons)
1995-04-10,Falcons,&bull; Darryl Talley,,"signed free agent (from Bills) to a 2-year, $2M contract"
1995-04-12,Chargers,&bull; Bo Orlando,,signed to a 2-year contract
1995-04-12,Rams,,&bull; Marquez Pope,lost restricted free agent (to 49ers) (Rams declined to match 49ers offer sheet)
1995-04-12,49ers,&bull; Marquez Pope,,"signed restricted free agent (from Rams) to a 4-year, $4.75M contract (Rams declined to match 49ers offer sheet)"
1995-04-12,49ers,,&bull; 1995 second round pick (#62-Jesse James (a)),sent to Rams as compensation for restricted free agent Marquez Pope
1995-04-12,Rams,&bull; 1995 second round pick (#62-Jesse James (a)),,received from 49ers as compensation for restricted free agent Marquez Pope
1995-04-13,Jets,&bull; Otis Smith,,signed free agent
1995-04-17,49ers,&bull; Derrick Moore,&bull; 1995 fifth round pick (#163-Ronald Cherry),trade with Lions
1995-04-17,Bears,&bull; Steve Walsh,,"re-signed to a 1-year, $1.5M contract"
1995-04-17,Lions,&bull; 1995 fifth round pick (#163-Ronald Cherry),&bull; Derrick Moore,trade with 49ers
1995-04-18,Chiefs,,&bull; Joe Montana,retired
1995-04-20,Broncos,&bull; 1995 fourth round pick (#121-Jamie Brown)<br/>&bull; 1995 sixth round pick (#196-Terrell Davis),&bull; 1995 fourth round pick (#111-Chad May),trade with Vikings (date approximate)
1995-04-20,Vikings,&bull; 1995 fourth round pick (#111-Chad May),&bull; 1995 fourth round pick (#121-Jamie Brown)<br/>&bull; 1995 sixth round pick (#196-Terrell Davis),trade with Broncos (date approximate)
1995-04-21,Cardinals,&bull; Rob Moore,&bull; Ronald Moore / Ron Moore<br/>&bull; 1995 first round pick (#16-Hugh Douglas)<br/>&bull; 1995 fourth round pick (#106-Melvin Hayes),trade with Jets
1995-04-21,Jaguars,&bull; Mark Brunell,&bull; 1995 third round pick (#66-William Henderson)<br/>&bull; 1995 fifth round pick (#170-Travis Jervey),trade with Packers
1995-04-21,Jets,&bull; Ronald Moore / Ron Moore<br/>&bull; 1995 first round pick (#16-Hugh Douglas)<br/>&bull; 1995 fourth round pick (#106-Melvin Hayes),&bull; Rob Moore,trade with Cardinals
1995-04-21,Packers,&bull; 1995 third round pick (#66-William Henderson)<br/>&bull; 1995 fifth round pick (#170-Travis Jervey),&bull; Mark Brunell,trade with Jaguars
1995-04-22,49ers,&bull; 1995 first round pick (#10-J.J. Stokes),&bull; 1995 first round pick (#30-Craig Powell)<br/>&bull; 1995 third round pick (#94-Mike Frederick)<br/>&bull; 1995 fourth round pick (#119-Dave Barr)<br/>&bull; 1996 first round pick (#26-Ray Lewis (b)),trade with Browns
1995-04-22,49ers,&bull; Antonio Armstrong,,sixth round pick (#201 overall)
1995-04-22,49ers,&bull; Herb Coleman (b),,seventh round pick (#238 overall)
1995-04-22,49ers,&bull; J.J. Stokes,,first round pick (#10 overall)
1995-04-22,49ers,&bull; Tim Hanshaw,,fourth round pick (#127 overall)
1995-04-22,Bears,&bull; Carl Reeves,,sixth round pick (#198 overall)
1995-04-22,Bears,&bull; Evan Pilgrim,,third round pick (#87 overall)
1995-04-22,Bears,&bull; Jack Jackson,,fourth round pick (#116 overall)
1995-04-22,Bears,&bull; Jamal Cox,,seventh round pick (#229 overall)
1995-04-22,Bears,&bull; Patrick Riley,,second round pick (#52 overall)
1995-04-22,Bears,&bull; Rashaan Salaam,,first round pick (#21 overall)
1995-04-22,Bears,&bull; Sean Harris,,third round pick (#83 overall)
1995-04-22,Bears,&bull; Todd Sauerbrun,,second round pick (#56 overall)
1995-04-22,Bears,Kenny Gales,,sixth round pick (#193 overall)
1995-04-22,Bengals,&bull; 1995 first round pick (#1-Ki-Jana Carter),&bull; 1995 first round pick (#5-Kerry Collins)<br/>&bull; 1995 second round pick (#36-Shawn King),trade with Panthers
1995-04-22,Bengals,&bull; David Dunn (b),,fifth round pick (#139 overall)
1995-04-22,Bengals,&bull; John Walsh (b),,seventh round pick (#213 overall)
1995-04-22,Bengals,&bull; Ki-Jana Carter,,first round pick (#1 overall)
1995-04-22,Bengals,&bull; Melvin Tuten,,third round pick (#69 overall)
1995-04-22,Bengals,&bull; Ryan Grigson,,sixth round pick (#175 overall)
1995-04-22,Bengals,&bull; Sam Shade,,fourth round pick (#102 overall)
1995-04-22,Bills,&bull; Damien Covington,,third round pick (#96 overall)
1995-04-22,Bills,&bull; Darick Holmes,,seventh round pick (#244 overall)
1995-04-22,Bills,&bull; Justin Armour,,fourth round pick (#113 overall)
1995-04-22,Bills,&bull; Ken Irvin,,fourth round pick (#109 overall)
1995-04-22,Bills,&bull; Marlon Kerner,,third round pick (#76 overall)
1995-04-22,Bills,&bull; Ruben Brown,,first round pick (#14 overall)
1995-04-22,Bills,&bull; Shannon Clavelle,,sixth round pick (#185 overall)
1995-04-22,Bills,&bull; Todd Collins,,second round pick (#45 overall)
1995-04-22,Bills,&bull; Tom Nutten,,seventh round pick (#221 overall)
1995-04-22,Bills,&bull; Tony Cline (b),,fourth round pick (#131 overall)
1995-04-22,Bills,John Holecek,,fifth round pick (#144 overall)
1995-04-22,Broncos,&bull; Fritz Fequeire,,sixth round pick (#182 overall)
1995-04-22,Broncos,&bull; Jamie Brown,,fourth round pick (#121 overall)
1995-04-22,Broncos,&bull; Ken Brown (A.),,fourth round pick (#124 overall)
1995-04-22,Broncos,&bull; Phil Yeboah-Kodie,,fifth round pick (#146 overall)
1995-04-22,Broncos,&bull; Steve Russ,,seventh round pick (#218 overall)
1995-04-22,Broncos,&bull; Terrell Davis,,sixth round pick (#196 overall)
1995-04-22,Browns,&bull; 1995 first round pick (#30-Craig Powell)<br/>&bull; 1995 third round pick (#94-Mike Frederick)<br/>&bull; 1995 fourth round pick (#119-Dave Barr)<br/>&bull; 1996 first round pick (#26-Ray Lewis (b)),&bull; 1995 first round pick (#10-J.J. Stokes),trade with 49ers
1995-04-22,Browns,&bull; A.C. Tellison,,seventh round pick (#231 overall)
1995-04-22,Browns,&bull; Craig Powell,,first round pick (#30 overall)
1995-04-22,Browns,&bull; Mike Frederick,,third round pick (#94 overall)
1995-04-22,Browns,&bull; Mike Miller (b),,fourth round pick (#147 overall)
1995-04-22,Browns,&bull; Tau Pupua,,fifth round pick (#136 overall)
1995-04-22,Buccaneers,&bull; Clifton Abraham,,fifth round pick (#143 overall)
1995-04-22,Buccaneers,&bull; Jeffrey Rodgers,,seventh round pick (#227 overall)
1995-04-22,Buccaneers,&bull; Jerry Wilson (b),,fourth round pick (#105 overall)
1995-04-22,Buccaneers,&bull; Steve Ingram,,seventh round pick (#215 overall)
1995-04-22,Buccaneers,&bull; Wardell Rouse,,sixth round pick (#179 overall)
1995-04-22,Buccaneers,&bull; Warren Sapp,,first round pick (#12 overall)
1995-04-22,Cardinals,&bull; Anthony Bridges,,sixth round pick (#205 overall)
1995-04-22,Cardinals,&bull; Billy Williams,,seventh round pick (#212 overall)
1995-04-22,Cardinals,&bull; Cedric Davis,,fifth round pick (#150 overall)
1995-04-22,Cardinals,&bull; Chad Eaton,,seventh round pick (#241 overall)
1995-04-22,Cardinals,&bull; Frank Sanders,,second round pick (#47 overall)
1995-04-22,Cardinals,&bull; Lance Scott,,fifth round pick (#165 overall)
1995-04-22,Cardinals,&bull; Stoney Case,,third round pick (#80 overall)
1995-04-22,Cardinals,&bull; Wesley Leasy,,seventh round pick (#224 overall)
1995-04-22,Cardinals,Tito Paul,,fifth round pick (#167 overall)
1995-04-22,Chargers,&bull; Aaron Hayden,,fourth round pick (#104 overall)
1995-04-22,Chargers,&bull; Brandon Harrison (a),,sixth round pick (#183 overall)
1995-04-22,Chargers,&bull; Don Sasa,,third round pick (#93 overall)
1995-04-22,Chargers,&bull; Jimmy Oliver,,second round pick (#61 overall)
1995-04-22,Chargers,&bull; Omar Ellison / O'Mar Ellison,,fifth round pick (#162 overall)
1995-04-22,Chargers,Craig Whelihan,,sixth round pick (#197 overall)
1995-04-22,Chargers,Mark Montreuil,,seventh round pick (#237 overall)
1995-04-22,Chargers,Tony Berti,,sixth round pick (#200 overall)
1995-04-22,Chargers,Troy Sienkiewicz,,sixth round pick (#177 overall)
1995-04-22,Chiefs,&bull; Bryan Proby,,sixth round pick (#202 overall)
1995-04-22,Chiefs,&bull; Jerrott Willard,,fifth round pick (#164 overall)
1995-04-22,Chiefs,&bull; Mike Pelton,,fifth round pick (#155 overall)
1995-04-22,Chiefs,&bull; Tom Burndt,,sixth round pick (#207 overall)
1995-04-22,Chiefs,Tamarick Vanover,,third round pick (#81 overall)
1995-04-22,Chiefs,Troy Dumas,,third round pick (#97 overall)
1995-04-22,Colts,&bull; Derek West,,fifth round pick (#149 overall)
1995-04-22,Colts,&bull; Elliss Johnson / Ellis Johnson (b),,first round pick (#15 overall)
1995-04-22,Colts,&bull; Jessie Cox,,seventh round pick (#223 overall)
1995-04-22,Colts,&bull; Ken Dilger,,second round pick (#48 overall)
1995-04-22,Colts,&bull; Ray McElroy,,fourth round pick (#114 overall)
1995-04-22,Colts,&bull; Zack Crockett,,third round pick (#79 overall)
1995-04-22,Colts,Brian Gelzheiser,,sixth round pick (#187 overall)
1995-04-22,Cowboys,&bull; 1995 second round pick (#46-Sherman Williams)<br/>&bull; 1995 fourth round pick (#110-Eric Bjornson),&bull; 1995 second round pick (#41-Ronald Davis),trade with Falcons
1995-04-22,Cowboys,&bull; Alundis Brice,,fourth round pick (#129 overall)
1995-04-22,Cowboys,&bull; Charlie Williams (c),,third round pick (#92 overall)
1995-04-22,Cowboys,&bull; Dana Howard,,fifth round pick (#168 overall)
1995-04-22,Cowboys,&bull; Edward Hervey / Ed Hervey,,fifth round pick (#166 overall)
1995-04-22,Cowboys,&bull; Kendell Watkins,,second round pick (#59 overall)
1995-04-22,Cowboys,&bull; Linc Harden,,fourth round pick (#130 overall)
1995-04-22,Cowboys,&bull; Oscar Sturgis / Oscar Sturgiss,,seventh round pick (#236 overall)
1995-04-22,Cowboys,Eric Bjornson,,fourth round pick (#110 overall)
1995-04-22,Dolphins,&bull; Andrew Greene,,second round pick (#53 overall)
1995-04-22,Dolphins,&bull; Billy Milner,,first round pick (#25 overall)
1995-04-22,Dolphins,&bull; Corey Swinson,,seventh round pick (#233 overall)
1995-04-22,Dolphins,&bull; Norman Hand,,fifth round pick (#158 overall)
1995-04-22,Dolphins,&bull; Pete Mitchell,,fourth round pick (#122 overall)
1995-04-22,Dolphins,&bull; Shannon Myers,,seventh round pick (#246 overall)
1995-04-22,Dolphins,Jeff Kopp,,sixth round pick (#194 overall)
1995-04-22,Eagles,&bull; Barrett Brooks,,second round pick (#58 overall)
1995-04-22,Eagles,&bull; Chris Jones (T.),,third round pick (#78 overall)
1995-04-22,Eagles,&bull; Dave Barr,,fourth round pick (#119 overall)
1995-04-22,Eagles,&bull; Greg Jefferson,,third round pick (#72 overall)
1995-04-22,Eagles,&bull; Kevin Bouie,,seventh round pick (#210 overall)
1995-04-22,Eagles,&bull; Rodney Peete,,signed free agent
1995-04-22,Falcons,&bull; 1995 second round pick (#41-Ronald Davis),&bull; 1995 second round pick (#46-Sherman Williams)<br/>&bull; 1995 fourth round pick (#110-Eric Bjornson),trade with Cowboys
1995-04-22,Falcons,&bull; Devin Bush,,first round pick (#26 overall)
1995-04-22,Falcons,&bull; John Burrough,,seventh round pick (#245 overall)
1995-04-22,Falcons,&bull; Lorenzo Styles,,third round pick (#77 overall)
1995-04-22,Falcons,&bull; Roell Preston,,fifth round pick (#145 overall)
1995-04-22,Falcons,&bull; Ronald Davis,,second round pick (#41 overall)
1995-04-22,Falcons,&bull; Travis Hall,,sixth round pick (#181 overall)
1995-04-22,Giants,&bull; Ben Talley,,fourth round pick (#133 overall)
1995-04-22,Giants,&bull; Bryne Diehl,,seventh round pick (#225 overall)
1995-04-22,Giants,&bull; Charles Way,,sixth round pick (#206 overall)
1995-04-22,Giants,&bull; Roderick Mullen,,fifth round pick (#153 overall)
1995-04-22,Giants,&bull; Rodney Young,,third round pick (#85 overall)
1995-04-22,Giants,&bull; Scott Gragg,,second round pick (#54 overall)
1995-04-22,Giants,&bull; Tyrone Wheatley,,first round pick (#17 overall)
1995-04-22,Giants,Jamal Duff,,sixth round pick (#204 overall)
1995-04-22,Giants,Rob Zatechka,,fourth round pick (#128 overall)
1995-04-22,Jaguars,&bull; Bryan Schwartz,,second round pick (#64 overall)
1995-04-22,Jaguars,&bull; Marcus Price,,sixth round pick (#172 overall)
1995-04-22,Jaguars,&bull; Mike Thompson,,fourth round pick (#123 overall)
1995-04-22,Jaguars,&bull; Rob Johnson,,fourth round pick (#99 overall)
1995-04-22,Jaguars,&bull; Tony Boselli,,first round pick (#2 overall)
1995-04-22,Jaguars,Ryan Christopherson,,fifth round pick (#169 overall)
1995-04-22,Jets,&bull; Carl Greenwood,,fifth round pick (#142 overall)
1995-04-22,Jets,&bull; Curtis Ceaser,,seventh round pick (#217 overall)
1995-04-22,Jets,&bull; Eddie Mason,,sixth round pick (#178 overall)
1995-04-22,Jets,&bull; Hugh Douglas,,first round pick (#16 overall)
1995-04-22,Jets,&bull; Kyle Brady,,first round pick (#9 overall)
1995-04-22,Jets,&bull; Melvin Hayes,,fourth round pick (#106 overall)
1995-04-22,Jets,&bull; Tyrone Davis,,fourth round pick (#107 overall)
1995-04-22,Lions,&bull; 1995 third round pick (#70-David Sloan),&bull; 1995 third round pick (#82-Steve McLaughlin)<br/>&bull; 1995 fourth round pick (#115-Lovell Pinkney),trade with Rams
1995-04-22,Lions,&bull; Cory Schlesinger,,sixth round pick (#192 overall)
1995-04-22,Lions,&bull; David Sloan,,third round pick (#70 overall)
1995-04-22,Lions,&bull; Hessley Hempstead,,seventh round pick (#228 overall)
1995-04-22,Lions,&bull; Kevin Hickman,,sixth round pick (#186 overall)
1995-04-22,Lions,&bull; Kez McCorvey,,fifth round pick (#156 overall)
1995-04-22,Lions,&bull; Luther Elliss,,first round pick (#20 overall)
1995-04-22,Lions,&bull; Ronald Cherry,,fifth round pick (#163 overall)
1995-04-22,Lions,&bull; Stephen Boyd,,fifth round pick (#141 overall)
1995-04-22,Oilers,&bull; Anthony Cook,,second round pick (#35 overall)
1995-04-22,Oilers,&bull; C.J. Richardson,,seventh round pick (#211 overall)
1995-04-22,Oilers,&bull; Chris Sanders,,third round pick (#67 overall)
1995-04-22,Oilers,&bull; Gary Walker (b),,fifth round pick (#159 overall)
1995-04-22,Oilers,&bull; Hicham El-Mashtoub,,sixth round pick (#174 overall)
1995-04-22,Oilers,&bull; Rodney Thomas (b),,third round pick (#89 overall)
1995-04-22,Oilers,&bull; Torey Hunter,,third round pick (#95 overall)
1995-04-22,Oilers,Michael Roan,,fourth round pick (#101 overall)
1995-04-22,Oilers,Steve McNair,,first round pick (#3 overall)
1995-04-22,Packers,&bull; Adam Timmerman,,seventh round pick (#230 overall)
1995-04-22,Packers,&bull; Antonio Freeman,,third round pick (#90 overall)
1995-04-22,Packers,&bull; Brian Williams (M.),,third round pick (#73 overall)
1995-04-22,Packers,&bull; Jay Barker,,fifth round pick (#160 overall)
1995-04-22,Packers,&bull; Jeff Miller,,fourth round pick (#117 overall)
1995-04-22,Packers,&bull; Travis Jervey,,fifth round pick (#170 overall)
1995-04-22,Packers,&bull; William Henderson,,third round pick (#66 overall)
1995-04-22,Panthers,&bull; 1995 first round pick (#5-Kerry Collins)<br/>&bull; 1995 second round pick (#36-Shawn King),&bull; 1995 first round pick (#1-Ki-Jana Carter),trade with Bengals
1995-04-22,Panthers,&bull; Andrew Peterson,,fifth round pick (#171 overall)
1995-04-22,Panthers,&bull; Frank Garcia,,fourth round pick (#132 overall)
1995-04-22,Panthers,&bull; Kerry Collins,,first round pick (#5 overall)
1995-04-22,Panthers,&bull; Michael Reed,,seventh round pick (#249 overall)
1995-04-22,Panthers,&bull; Shawn King,,second round pick (#36 overall)
1995-04-22,Panthers,Chad Cota,,seventh round pick (#209 overall)
1995-04-22,Panthers,Michael Senters,,fifth round pick (#135 overall)
1995-04-22,Patriots,&bull; Curtis Martin,,third round pick (#74 overall)
1995-04-22,Patriots,&bull; Dino Philyaw,,sixth round pick (#195 overall)
1995-04-22,Patriots,&bull; Ted Johnson,,second round pick (#57 overall)
1995-04-22,Patriots,&bull; Ty Law,,first round pick (#23 overall)
1995-04-22,Patriots,Jimmy Hitchcock,,third round pick (#88 overall)
1995-04-22,Raiders,&bull; Barret Robbins,,second round pick (#49 overall)
1995-04-22,Raiders,&bull; Eli Herring,,sixth round pick (#190 overall)
1995-04-22,Raiders,&bull; Jeff Kysar,,fifth round pick (#154 overall)
1995-04-22,Raiders,&bull; Joe Aska,,third round pick (#86 overall)
1995-04-22,Raiders,&bull; Mike Morton,,fourth round pick (#118 overall)
1995-04-22,Raiders,&bull; Napolean Kaufman,,first round pick (#18 overall)
1995-04-22,Rams,&bull; 1995 third round pick (#82-Steve McLaughlin)<br/>&bull; 1995 fourth round pick (#115-Lovell Pinkney),&bull; 1995 third round pick (#70-David Sloan),trade with Lions
1995-04-22,Rams,&bull; Bronzell Miller,,seventh round pick (#239 overall)
1995-04-22,Rams,&bull; Gerald McBurrows,,seventh round pick (#214 overall)
1995-04-22,Rams,&bull; Herman O'Berry,,seventh round pick (#220 overall)
1995-04-22,Rams,&bull; J.T. Thomas (b),,seventh round pick (#240 overall)
1995-04-22,Rams,&bull; Jesse James (a),,second round pick (#62 overall)
1995-04-22,Rams,&bull; Kevin Carter,,first round pick (#6 overall)
1995-04-22,Rams,&bull; Lovell Pinkney,,fourth round pick (#115 overall)
1995-04-22,Rams,&bull; Mike Scurlock,,fifth round pick (#140 overall)
1995-04-22,Rams,&bull; Steve McLaughlin,,third round pick (#82 overall)
1995-04-22,Rams,&bull; Zach Wiegert,,second round pick (#38 overall)
1995-04-22,Redskins,&bull; Brian Thure,,sixth round pick (#176 overall)
1995-04-22,Redskins,&bull; Cory Raymer,,second round pick (#37 overall)
1995-04-22,Redskins,&bull; Darryl Pounds,,third round pick (#68 overall)
1995-04-22,Redskins,&bull; Jamie Asher,,fifth round pick (#137 overall)
1995-04-22,Redskins,&bull; Larry Jones (b),,fourth round pick (#103 overall)
1995-04-22,Redskins,&bull; Michael Westbrook,,first round pick (#4 overall)
1995-04-22,Redskins,&bull; Rich Owens / Ritchie Owens,,fifth round pick (#152 overall)
1995-04-22,Redskins,&bull; Scott Turner,,seventh round pick (#226 overall)
1995-04-22,Saints,&bull; Dameian Jeffries,,fourth round pick (#108 overall)
1995-04-22,Saints,&bull; Lee DeRamus,,sixth round pick (#184 overall)
1995-04-22,Saints,&bull; Mark Fields,,first round pick (#13 overall)
1995-04-22,Saints,&bull; Ray Zellars,,second round pick (#44 overall)
1995-04-22,Saints,&bull; Travis Davis (b),,seventh round pick (#242 overall)
1995-04-22,Saints,&bull; William Strong,,fifth round pick (#148 overall)
1995-04-22,Saints,Mike Verstegen,,third round pick (#75 overall)
1995-04-22,Seahawks,&bull; Christian Fauria,,second round pick (#39 overall)
1995-04-22,Seahawks,&bull; Eddie Goines,,sixth round pick (#203 overall)
1995-04-22,Seahawks,&bull; Henry McMillian,,sixth round pick (#180 overall)
1995-04-22,Seahawks,&bull; Joey Galloway,,first round pick (#8 overall)
1995-04-22,Seahawks,&bull; Keif Bryant,,seventh round pick (#216 overall)
1995-04-22,Seahawks,Jason Kyle,,fourth round pick (#126 overall)
1995-04-22,Steelers,&bull; Barron Miles,,sixth round pick (#199 overall)
1995-04-22,Steelers,&bull; Cole Ford,,seventh round pick (#247 overall)
1995-04-22,Steelers,&bull; Donta Jones,,fourth round pick (#125 overall)
1995-04-22,Steelers,&bull; Henry Bailey,,seventh round pick (#235 overall)
1995-04-22,Steelers,&bull; Kordell Stewart,,second round pick (#60 overall)
1995-04-22,Steelers,&bull; Lance Brown,,fifth round pick (#161 overall)
1995-04-22,Steelers,&bull; Lethon Flowers / Lee Flowers,,fifth round pick (#151 overall)
1995-04-22,Steelers,&bull; Mark Bruener,,first round pick (#27 overall)
1995-04-22,Steelers,&bull; Oliver Gibson,,fourth round pick (#120 overall)
1995-04-22,Steelers,Brenden Stai,,third round pick (#91 overall)
1995-04-22,Vikings,&bull; Corey Fuller (a),,second round pick (#55 overall)
1995-04-22,Vikings,&bull; Derrick Alexander (b),,first round pick (#11 overall)
1995-04-22,Vikings,&bull; James Stewart (c),,fifth round pick (#157 overall)
1995-04-22,Vikings,&bull; John Solomon,,sixth round pick (#189 overall)
1995-04-22,Vikings,&bull; Jose White,,seventh round pick (#232 overall)
1995-04-22,Vikings,&bull; Korey Stringer,,first round pick (#24 overall)
1995-04-22,Vikings,&bull; Orlando Thomas,,second round pick (#42 overall)
1995-04-22,Vikings,Jason Fisk,,seventh round pick (#243 overall)
1995-04-22,Browns,&bull; 1995 third round pick (#84-Eric Zeier),&bull; 1995 third round pick (#90-Antonio Freeman)<br/>&bull; 1995 fifth round pick (#160-Jay Barker),trade with Packers
1995-04-22,Buccaneers,&bull; 1995 first round pick (#12-Warren Sapp)<br/>&bull; two 1995 second round picks (#43-Melvin Johnson (b)) (#63-Shane Hannah),&bull; 1995 first round pick (#7-Mike Mamula)<br/>&bull; 1995 third round pick (#72-Greg Jefferson),trade with Eagles
1995-04-22,Buccaneers,&bull; 1995 first round pick (#28-Derrick Brooks),&bull; two 1995 second round picks (#41-Ronald Davis) (#63-Shane Hannah),trade with Cowboys
1995-04-22,Chargers,&bull; 1995 second round pick (#34-Terrance Shaw)<br/>&bull; 1995 third round pick (#98-Preston Harison)<br/>&bull; 1995 fourth round pick (#100-Chris Cowart),&bull; 1995 first round pick (#29-Blake Brockermeyer),trade with Panthers
1995-04-22,Chiefs,&bull; 1995 first round pick (#31-Trezelle Jenkins)<br/>&bull; 1995 third round pick (#97-Troy Dumas)<br/>&bull; 1995 fourth round pick (#134-Steve Stenstrom)<br/>&bull; 1996 fourth round pick (#113-Kirk Pointer),&bull; 1995 first round pick (#19-James Stewart (b)),trade with Jaguars
1995-04-22,Chiefs,&bull; Victor Bailey<br/>&bull; 1995 fourth round pick (#112-Dave Wohlabaugh),&bull; 1995 second round pick (#50-Bobby Taylor (b))<br/>&bull; 1996 sixth round pick (#199-Philip Riley),trade with Eagles
1995-04-22,Cowboys,&bull; two 1995 second round picks (#41-Ronald Davis) (#63-Shane Hannah),&bull; 1995 first round pick (#28-Derrick Brooks),trade with Buccaneers
1995-04-22,Eagles,&bull; 1995 first round pick (#7-Mike Mamula)<br/>&bull; 1995 third round pick (#72-Greg Jefferson),&bull; 1995 first round pick (#12-Warren Sapp)<br/>&bull; two 1995 second round picks (#43-Melvin Johnson (b)) (#63-Shane Hannah),trade with Buccaneers
1995-04-22,Eagles,&bull; 1995 second round pick (#50-Bobby Taylor (b))<br/>&bull; 1996 sixth round pick (#199-Philip Riley),&bull; Victor Bailey<br/>&bull; 1995 fourth round pick (#112-Dave Wohlabaugh),trade with Chiefs
1995-04-22,Jaguars,&bull; 1995 first round pick (#19-James Stewart (b)),&bull; 1995 first round pick (#31-Trezelle Jenkins)<br/>&bull; 1995 third round pick (#97-Troy Dumas)<br/>&bull; 1995 fourth round pick (#134-Steve Stenstrom)<br/>&bull; 1996 fourth round pick (#113-Kirk Pointer),trade with Chiefs
1995-04-22,Jaguars,&bull; 1995 second round pick (#40-Brian DeMarco)<br/>&bull; 1995 third round pick (#71-Chris Hudson),&bull; 1995 second round pick (#33-Matt O'Dwyer),trade with Jets
1995-04-22,Jets,&bull; 1995 second round pick (#33-Matt O'Dwyer),&bull; 1995 second round pick (#40-Brian DeMarco)<br/>&bull; 1995 third round pick (#71-Chris Hudson),trade with Jaguars
1995-04-22,Packers,&bull; 1995 first round pick (#32-Craig Newsome)<br/>&bull; 1995 third round pick (#65-Darius Holland)<br/>&bull; 1995 sixth round pick (#173-Charlie Simmons),&bull; 1995 second round pick (#22-Tyrone Poole)<br/>&bull; 1995 sixth round pick (#191-Jerry Colquitt),trade with Panthers
1995-04-22,Packers,&bull; 1995 third round pick (#90-Antonio Freeman)<br/>&bull; 1995 fifth round pick (#160-Jay Barker),&bull; 1995 third round pick (#84-Eric Zeier),trade with Browns
1995-04-22,Panthers,&bull; 1995 first round pick (#29-Blake Brockermeyer),&bull; 1995 second round pick (#34-Terrance Shaw)<br/>&bull; 1995 third round pick (#98-Preston Harison)<br/>&bull; 1995 fourth round pick (#100-Chris Cowart),trade with Chargers
1995-04-22,Panthers,&bull; 1995 second round pick (#22-Tyrone Poole)<br/>&bull; 1995 sixth round pick (#191-Jerry Colquitt),&bull; 1995 first round pick (#32-Craig Newsome)<br/>&bull; 1995 third round pick (#65-Darius Holland)<br/>&bull; 1995 sixth round pick (#173-Charlie Simmons),trade with Packers
1995-04-22,Buccaneers,&bull; Derrick Brooks,,first round pick (#28 overall)
1995-04-22,Chargers,&bull; 1995 second round pick (#51-Terrell Fletcher),&bull; 1996 first round pick (#21-Pete Kendall),trade with Lions
1995-04-22,Chargers,&bull; Preston Harison,,third round pick (#98 overall)
1995-04-22,Chargers,&bull; Terrance Shaw,,second round pick (#34 overall)
1995-04-22,Chiefs,&bull; 1996 third round pick (#68-John Browning),&bull; 1995 fourth round pick (#112-Dave Wohlabaugh),trade with Patriots
1995-04-22,Chiefs,&bull; Trezelle Jenkins,,first round pick (#31 overall)
1995-04-22,Eagles,&bull; Bobby Taylor (b),,second round pick (#50 overall)
1995-04-22,Jaguars,&bull; Brian DeMarco,,second round pick (#40 overall)
1995-04-22,Jaguars,&bull; Chris Hudson,,third round pick (#71 overall)
1995-04-22,Jaguars,&bull; James Stewart (b),,first round pick (#19 overall)
