year,team,player,position,birthdate,college
1986,DAL,John Dutton,DT,2/6/1951,Nebraska  
1986,DAL,Ron Fellows,DB,11/7/1958,Missouri  
1986,DAL,Todd Fowler,RB,6/9/1962,Stephen F. Austin  
1986,DAL,Cornell Gowdy,DB,10/2/1963,Morgan State  
1986,DAL,Mike Hegman,LB,1/17/1953,Tennessee State  
1986,DAL,Manny Hendrix,DB,10/20/1964,Utah  
1986,DAL,Tony Hill,WR,6/23/1956,Stanford  
1986,DAL,Johnny Holloway,DB,11/8/1963,Kansas  
1986,DAL,Garth Jax,LB,9/16/1963,Florida State  
1986,DAL,Jim Jeffcoat,DE,4/1/1961,Arizona State  
1986,DAL,Too Tall Jones,DE,2/23/1951,Tennessee State  
1986,DAL,Crawford Ker,OG,5/5/1962,Florida  
1986,DAL,Robert Lavette,RB,9/8/1963,Georgia Tech  
1986,DAL,Eugene Lockhart,LB,3/8/1961,Houston  
1986,DAL,Paul McDonald,QB,2/23/1958,Southern California  
1986,DAL,Timmy Newsome,RB,5/17/1958,Winston-Salem State  
1986,DAL,Nate Newton,OG,12/20/1961,Florida A&M  
1986,DAL,Bob Otto,DE,12/16/1962,Idaho State  
1986,DAL,Steve Pelluer,QB,7/29/1962,Washington  
1986,DAL,Jesse Penn,LB,9/6/1962,Virginia Tech  
1986,DAL,Kurt Ploeger,DE,12/1/1962,Gustavus Adolphus  
1986,DAL,Karl Powe,WR,1/17/1962,Alabama State  
1986,DAL,Phil Pozderac,OT,12/19/1959,Notre Dame  
1986,DAL,Tom Rafferty,C,8/2/1954,Penn State  
1986,DAL,Mike Renfro,WR,6/19/1955,Texas Christian  
1986,DAL,Howard Richards,OT,8/7/1959,Missouri  
1986,DAL,Jeff Rohrer,LB,12/25/1958,Yale  
1986,DAL,Mike Saxon,P,7/10/1962,San Diego State  
1986,DAL,Victor Scott,DB,6/1/1962,Colorado  
1986,DAL,Rafael Septien,K,12/12/1953,Southwestern Louisiana  
1986,DAL,Mike Sherrard,WR,6/21/1963,UCLA  
1986,DAL,Don Smerek,DT,12/20/1957,Nevada  
1986,DAL,Glen Titensor,OG,2/21/1958,Brigham Young  
1986,DAL,Mark Tuinei,OT,3/31/1960,Hawaii  
1986,DAL,Herschel Walker,RB,3/3/1962,Georgia  
1986,DAL,Everson Walls,DB,12/28/1959,Grambling  
1986,DAL,Danny White,QB,2/9/1952,Arizona State  
1986,DAL,Randy White,DT,1/15/1953,Maryland  
1986,DEN,Ken Bell,RB,11/16/1964,Boston College  
1986,DEN,Keith Bishop,OG,3/10/1957,Baylor  
1986,DEN,Tony Boddie,RB,11/11/1960,Montana State  
1986,DEN,Billy Bryan,C,6/21/1955,Duke  
1986,DEN,Rubin Carter,DT,12/12/1952,Miami  
1986,DEN,Tony Colorito,DT,9/8/1964,Southern California  
1986,DEN,Darren Comeaux,LB,4/15/1960,Arizona State  
1986,DEN,Mark Cooper,OT,2/14/1960,Miami  
1986,DEN,Rick Dennison,LB,6/22/1958,Colorado State  
1986,DEN,John Elway,QB,6/28/1960,Stanford  
1986,DEN,Simon Fletcher,DE,2/18/1962,Houston  
1986,DEN,Steve Foley,DB,11/11/1953,Tulane  
1986,DEN,Mike Freeman,OG,10/13/1961,Arizona  
1986,DEN,Freddie Gilbert,DE,4/8/1962,Georgia  
1986,DEN,Joey Hackett,TE,9/29/1958,Elon  
1986,DEN,Mike Harden,DB,2/16/1958,Michigan  
1986,DEN,Mark Haynes,DB,11/6/1958,Colorado  
1986,DEN,Winford Hood,OG,3/29/1962,Georgia  
1986,DEN,Mike Horan,P,2/1/1959,Long Beach State  
1986,DEN,Paul Howard,OG,9/12/1950,Brigham Young  
1986,DEN,Ricky Hunley,LB,11/11/1961,Arizona  
1986,DEN,Daniel Hunter,DB,9/1/1962,Henderson State  
1986,DEN,Mark Jackson,WR,7/23/1963,Purdue  
1986,DEN,Tom Jackson,LB,4/4/1951,Louisville  
1986,DEN,Vance Johnson,WR,3/13/1963,Arizona  
1986,DEN,Rulon Jones,DE,3/25/1958,Utah State  
1986,DEN,Rich Karlis,K,5/23/1959,Cincinnati  
1986,DEN,Clarence Kay,TE,7/30/1961,Georgia  
1986,DEN,Greg Kragen,DT,3/4/1962,Utah State  
1986,DEN,Gary Kubiak,QB,8/15/1961,Texas A&M  
1986,DEN,Gene Lang,RB,3/15/1962,Louisiana State  
1986,DEN,Ken Lanier,OT,7/8/1959,Florida State  
1986,DEN,Tony Lilly,DB,2/16/1962,Florida  
1986,DEN,Karl Mecklenburg,LB,9/1/1960,Minnesota  
1986,DEN,Bobby Micho,TE,3/7/1962,Texas  
1986,DEN,Orson Mobley,TE,3/4/1963,Salem International  
1986,DEN,Chris Norman,P,5/25/1962,South Carolina  
1986,DEN,Dan Remsberg,OT,4/7/1962,Abilene Christian  
1986,DEN,Randy Robbins,DB,9/14/1962,Arizona  
1986,DEN,Jim Ryan,LB,5/18/1957,William & Mary  
1986,DEN,Clint Sampson,WR,1/4/1961,San Diego State  
1986,DEN,Steve Sewell,RB,4/2/1963,Oklahoma  
1986,DEN,Dennis Smith,DB,2/3/1959,Southern California  
1986,DEN,Dave Studdard,OT,11/22/1955,Texas  
1986,DEN,Andre Townsend,DE,10/8/1962,Mississippi  
1986,DEN,Steve Watson,WR,5/28/1957,Temple  
1986,DEN,Jack Weil,P,3/16/1962,Wyoming  
1986,DEN,Gerald Willhite,RB,5/30/1959,San Jose State  
1986,DEN,Steve Wilson,DB,8/24/1957,Howard  
1986,DEN,Sammy Winder,RB,7/15/1959,Southern Mississippi  
1986,DEN,Ken Woodard,LB,1/22/1960,Tuskegee  
1986,DEN,Louis Wright,DB,1/31/1953,San Jose State  
1986,DET,Jim Arnold,P,1/31/1961,Vanderbilt  
1986,DET,Steve Baack,DT,11/16/1960,Oregon  
1986,DET,Scott Barrows,OG,3/31/1963,West Virginia  
1986,DET,Mike Black,P,1/18/1961,Arizona State  
1986,DET,Carl Bland,WR,8/17/1961,Virginia Union  
1986,DET,John Bostic,DB,10/6/1962,Bethune-Cookman  
1986,DET,Lomas Brown,OT,3/30/1963,Florida  
1986,DET,Paul Butcher,LB,11/8/1963,Wayne State (MI)  
1986,DET,Jeff Chadwick,WR,12/16/1960,Grand Valley State  
1986,DET,Mike Cofer,LB,4/7/1960,Tennessee  
1986,DET,August Curley,LB,1/24/1960,Southern California  
1986,DET,Chris Dieterich,OT,7/27/1958,North Carolina State  
1986,DET,Keith Dorney,OT,12/3/1957,Penn State  
1986,DET,Donnie Elder,DB,12/13/1962,Memphis  
1986,DET,Leon Evans,DE,10/12/1961,Miami  
1986,DET,Joe Ferguson,QB,4/23/1950,Arkansas  
1986,DET,Keith Ferguson,DE,4/3/1959,Ohio State  
1986,DET,Duane Galloway,DB,11/7/1961,Arizona State  
1986,DET,William Gay,DE,5/28/1955,Southern California  
1986,DET,Jimmie Giles,TE,11/8/1954,Alcorn State  
1986,DET,Kevin Glover,C,6/17/1963,Maryland  
1986,DET,William Graham,DB,9/27/1959,Texas  
1986,DET,Curtis Green,DE,6/3/1957,Alabama State  
1986,DET,James Griffin,DB,9/7/1961,Middle Tennessee State  
1986,DET,James Harrell,LB,7/19/1957,Florida  
1986,DET,Rod Hill,DB,3/14/1959,Kentucky State  
1986,DET,Eric Hipple,QB,9/16/1957,Utah State  
1986,DET,Herman Hunter,RB,2/14/1961,Tennessee State  
1986,DET,Garry James,RB,9/4/1963,Louisiana State  
1986,DET,Demetrious Johnson,DB,7/21/1961,Missouri  
1986,DET,James Johnson,LB,6/21/1962,San Diego State  
1986,DET,James Jones,RB,3/21/1961,Florida  
1986,DET,Steve Kenney,OG,12/26/1955,Clemson  
1986,DET,Angelo King,LB,2/10/1958,South Carolina State  
1986,DET,David Lewis,TE,6/8/1961,California  
1986,DET,Chuck Long,QB,2/18/1963,Iowa  
1986,DET,Pete Mandley,WR,7/29/1961,Northern Arizona  
1986,DET,Vernon Maxwell,LB,10/25/1961,Arizona State  
1986,DET,Bruce McNorton,DB,2/28/1959,Georgetown (KY)  
1986,DET,Devon Mitchell,DB,12/30/1962,Iowa  
1986,DET,Alvin Moore,RB,5/3/1959,Arizona State  
1986,DET,Steve Mott,C,3/24/1961,Alabama  
1986,DET,Eddie Murray,K,8/29/1956,Tulane  
1986,DET,Shelton Robinson,LB,9/14/1960,North Carolina  
1986,DET,Rob Rubick,TE,9/27/1960,Grand Valley State  
1986,DET,Harvey Salem,OT,1/15/1961,California  
1986,DET,Eric Sanders,OT,10/22/1958,Nevada  
1986,DET,Oscar Smith,RB,4/5/1963,Nicholls State  
1986,DET,Rich Strenger,OT,3/10/1960,Michigan  
1986,DET,Leonard Thompson,WR,7/28/1952,Oklahoma State  
1986,DET,Tom Turnure,C,7/9/1957,Washington  
1986,DET,Bobby Watkins,DB,5/31/1960,Texas State  
1986,DET,Eric Williams,DT,2/24/1962,Washington State  
1986,DET,Jimmy Williams,LB,11/15/1960,Nebraska  
1986,DET,Scott Williams,RB,7/21/1962,Georgia  
1986,GNB,John Anderson,LB,2/14/1956,Michigan  
1986,GNB,Ed Berry,DB,9/28/1963,Utah State  
1986,GNB,Jerry Boyarsky,DT,5/15/1959,Pittsburgh  
1986,GNB,Don Bracken,P,2/16/1962,Michigan  
1986,GNB,Robert Brown,DE,5/21/1960,Virginia Tech  
1986,GNB,Mossy Cade,DB,12/26/1961,Texas  
1986,GNB,Mark Cannon,C,6/14/1962,Texas-Arlington  
1986,GNB,Alphonso Carreker,DE,5/25/1962,Florida State  
1986,GNB,Paul Ott Carruth,RB,7/22/1961,Alabama  
1986,GNB,Bill Cherry,C,1/5/1961,Middle Tennessee State  
1986,GNB,Jessie Clark,RB,1/3/1960,Louisiana Tech  
1986,GNB,Kenneth Davis,RB,4/16/1962,Texas Christian  
1986,GNB,Al Del Greco,K,3/2/1962,Auburn  
1986,GNB,Burnell Dent,LB,3/16/1963,Tulane  
1986,GNB,John Dorsey,LB,8/31/1960,Connecticut  
1986,GNB,Gary Ellerson,RB,7/17/1963,Wisconsin  
1986,GNB,Gerry Ellis,RB,11/12/1957,Missouri  
1986,GNB,Phil Epps,WR,11/11/1958,Texas Christian  
1986,GNB,Greg Feasel,OT,11/7/1958,Abilene Christian  
1986,GNB,Vince Ferragamo,QB,4/24/1954,Nebraska  
1986,GNB,Tom Flynn,DB,3/24/1962,Pittsburgh  
1986,GNB,Nolan Franz,WR,9/11/1959,Tulane  
1986,GNB,Chuck Fusina,QB,5/31/1957,Penn State  
1986,GNB,George Greene,DB,2/15/1962,Western Carolina  
1986,GNB,David Greenwood,DB,3/25/1960,Wisconsin  
1986,GNB,Ron Hallstrom,OT,6/11/1959,Iowa  
1986,GNB,Tim Harris,LB,9/10/1964,Memphis  
1986,GNB,Gary Hayes,DB,8/19/1957,Fresno State  
1986,GNB,Donnie Humphrey,DE,4/20/1961,Auburn  
1986,GNB,Eddie Lee Ivery,RB,7/30/1957,Georgia Tech  
1986,GNB,Ezra Johnson,DE,10/2/1955,Morris Brown  
1986,GNB,Matt Koart,DE,9/28/1963,Southern California  
1986,GNB,Mark Lee,DB,3/20/1958,Washington  
1986,GNB,Bobby Leopold,LB,10/18/1957,Notre Dame  
1986,GNB,Mark Lewis,TE,5/5/1961,Texas A&M  
1986,GNB,Tim Lewis,DB,12/18/1961,Pittsburgh  
1986,GNB,James Lofton,WR,7/5/1956,Stanford  
1986,GNB,Charles Martin,DT,8/31/1959,West Alabama  
1986,GNB,Phil McConkey,WR,2/24/1957,Navy  
1986,GNB,Ruben Mendoza,OG,5/10/1963,Wayne State (NE)  
1986,GNB,Mike Moffitt,TE,7/28/1963,Fresno State  
1986,GNB,Rich Moran,OG,3/19/1962,San Diego State  
1986,GNB,Tom Neville,OG,9/4/1961,Fresno State  
1986,GNB,Brian Noble,LB,9/6/1962,Arizona State  
1986,GNB,Kurt Ploeger,DE,12/1/1962,Gustavus Adolphus  
1986,GNB,Bill Renner,P,5/23/1959,Virginia Tech  
1986,GNB,Dan Ross,TE,2/9/1957,Northeastern  
1986,GNB,Ken Ruettgers,OT,8/20/1962,Southern California  
1986,GNB,Jeff Schuh,LB,5/22/1958,Minnesota  
1986,GNB,Randy Scott,LB,1/31/1959,Alabama  
1986,GNB,Joe Shield,QB,6/26/1962,Trinity (CT)  
1986,GNB,John Simmons,DB,12/1/1958,Southern Methodist  
1986,GNB,Walter Stanley,WR,11/5/1962,Mesa State  
1986,GNB,Ken Stills,DB,9/6/1963,Wisconsin  
1986,GNB,John Sullivan,DB,10/15/1961,California  
1986,GNB,Karl Swanke,OT,12/29/1957,Boston College  
1986,GNB,Ben Thomas,DE,7/2/1961,Auburn  
1986,GNB,Miles Turpin,LB,5/15/1964,California  
1986,GNB,Alan Veingrad,OT,7/24/1963,Texas A&M-Commerce  
1986,GNB,Elbert Watts,DB,3/20/1963,Southern California  
1986,GNB,Mike Weddington,LB,10/9/1960,Oklahoma  
1986,GNB,Ed West,TE,8/2/1961,Auburn  
1986,GNB,Randy Wright,QB,1/12/1961,Wisconsin  
1986,IND,Dave Ahrens,LB,12/5/1958,Wisconsin  
1986,IND,Harvey Armstrong,DT,12/29/1959,Southern Methodist  
1986,IND,Karl Baldischwiler,OT,1/19/1956,Oklahoma  
1986,IND,Pat Ballage,DB,4/8/1964,Notre Dame  
1986,IND,Pat Beach,TE,12/28/1959,Washington State  
1986,IND,Albert Bentley,RB,8/15/1960,Miami  
1986,IND,Dean Biasucci,K,7/25/1962,Western Carolina  
1986,IND,Duane Bickett,LB,12/1/1962,Southern California  
1986,IND,Matt Bouza,WR,4/8/1958,California  
1986,IND,Mark Boyer,TE,9/16/1962,Southern California  
1986,IND,Bill Brooks,WR,4/6/1964,Boston University  
1986,IND,Bob Brotzki,OT,12/24/1962,Syracuse  
1986,IND,Willie Broughton,DT,9/9/1964,Miami  
1986,IND,Kevin Call,OT,11/13/1961,Colorado State  
1986,IND,Wayne Capers,WR,5/17/1961,Kansas  
1986,IND,Roger Caron,OT,6/3/1962,Harvard  
1986,IND,Dextor Clinkscale,DB,4/13/1958,South Carolina State  
1986,IND,Leonard Coleman,DB,1/30/1962,Vanderbilt  
1986,IND,Johnie Cooks,LB,11/23/1958,Mississippi State  
1986,IND,Eugene Daniel,DB,5/4/1961,Louisiana State  
1986,IND,Kenny Daniel,DB,6/1/1960,San Jose State  
1986,IND,Preston Davis,DB,3/10/1962,Baylor  
1986,IND,Ray Donaldson,C,5/18/1958,Georgia  
1986,IND,Owen Gill,RB,2/19/1962,Iowa  
1986,IND,Nesby Glasgow,DB,4/15/1957,Washington  
1986,IND,John Haines,DT,12/16/1961,Texas  
1986,IND,Jon Hand,DE,11/13/1963,Alabama  
1986,IND,James Harbour,WR,11/10/1962,Mississippi  
1986,IND,Dwight Hicks,DB,4/5/1956,Michigan  
1986,IND,Chris Hinton,OG,7/31/1961,Northwestern  
1986,IND,Gary Hogeboom,QB,8/21/1958,Central Michigan  
1986,IND,John Holt,DB,5/14/1959,West Texas A&M  
1986,IND,Lamonte Hunley,LB,1/31/1963,Arizona  
1986,IND,Victor Jackson,DB,8/6/1959,Bowie State  
1986,IND,Scott Kellar,DT,12/31/1963,Northeastern Illinois  
1986,IND,Blair Kiel,QB,11/29/1961,Notre Dame  
1986,IND,Mark Kirchner,OG,10/19/1959,Baylor  
1986,IND,Barry Krauss,LB,3/17/1957,Alabama  
1986,IND,Greg LaFleur,TE,9/16/1958,Louisiana State  
1986,IND,Jeff Leiding,LB,10/28/1961,Texas  
1986,IND,Orlando Lowry,LB,8/14/1961,Ohio State  
1986,IND,Mike Lush,DB,4/18/1958,East Stroudsburg  
1986,IND,Robbie Martin,WR,12/3/1958,Cal Poly-S.L.O.  
1986,IND,Randy McMillan,RB,12/17/1958,Pittsburgh  
1986,IND,Walter Murray,WR,12/13/1962,Hawaii  
1986,IND,Cliff Odom,LB,8/15/1958,Texas-Arlington  
1986,IND,Hubie Oliver,RB,11/12/1957,Arizona  
1986,IND,Tate Randle,DB,8/15/1959,Texas Tech  
1986,IND,Glen Redd,LB,6/17/1958,Brigham Young  
1986,IND,Tim Sherwin,TE,5/4/1958,Boston College  
1986,IND,Tommy Sims,DB,9/29/1964,Tennessee  
1986,IND,Ron Solt,OG,5/19/1962,Maryland  
1986,IND,Rohn Stark,P,5/4/1959,Florida State  
1986,IND,Donnell Thompson,DE,10/27/1958,North Carolina  
1986,IND,Jack Trudeau,QB,9/9/1962,Illinois  
1986,IND,Ben Utt,OT,6/13/1959,Georgia Tech  
1986,IND,Oliver Williams,WR,10/17/1960,Illinois  
1986,IND,George Wonsley,RB,11/23/1960,Mississippi State  
1986,KAN,Mark Adickes,OG,4/22/1961,Baylor  
1986,KAN,John Alt,OT,5/30/1962,Iowa  
1986,KAN,Walt Arnold,TE,8/31/1958,New Mexico  
1986,KAN,Gary Baldinger,DE,10/4/1963,Wake Forest  
1986,KAN,Rich Baldinger,OT,12/31/1959,Wake Forest  
1986,KAN,Tom Baugh,C,12/1/1963,Southern Illinois  
1986,KAN,Todd Blackledge,QB,2/25/1961,Penn State  
1986,KAN,Brad Budde,OG,5/9/1958,Southern California  
1986,KAN,Lloyd Burruss,DB,10/31/1957,Maryland  
1986,KAN,Carlos Carson,WR,12/28/1958,Louisiana State  
1986,KAN,Deron Cherry,DB,9/12/1959,Rutgers  
1986,KAN,Sherman Cocroft,DB,8/29/1961,San Jose State  
1986,KAN,Paul Coffman,TE,3/29/1956,Kansas State  
1986,KAN,Tim Cofield,LB,5/18/1963,Elizabeth City State  
1986,KAN,Lewis Colbert,P,8/23/1963,Auburn  
1986,KAN,Louis Cooper,LB,8/5/1963,Western Carolina  
1986,KAN,Rick Donnalley,C,12/11/1958,North Carolina  
1986,KAN,Irv Eatman,OT,1/1/1961,UCLA  
1986,KAN,Boyce Green,RB,6/24/1960,Carson-Newman  
1986,KAN,Leonard Griffin,DT,9/22/1962,Grambling  
1986,KAN,Dino Hackett,LB,6/28/1964,Appalachian State  
1986,KAN,Anthony Hancock,WR,6/10/1960,Tennessee  
1986,KAN,Emile Harry,WR,4/5/1963,Stanford  
1986,KAN,Jonathan Hayes,TE,8/11/1962,Iowa  
1986,KAN,Herman Heard,RB,11/24/1961,Southern Colorado  
1986,KAN,Greg Hill,DB,2/12/1961,Oklahoma State  
1986,KAN,Eric Holle,DE,9/5/1960,Texas  
1986,KAN,Brian Jozwiak,OG,6/20/1963,West Virginia  
1986,KAN,Bill Kenney,QB,1/20/1955,Northern Colorado  
1986,KAN,Bruce King,RB,1/7/1963,Purdue  
1986,KAN,Pete Koch,DT,1/23/1962,Maryland  
1986,KAN,Kit Lathrop,DE,5/10/1956,Arizona State  
1986,KAN,Albert Lewis,DB,10/6/1960,Grambling  
1986,KAN,Adam Lingner,C,11/2/1960,Illinois  
1986,KAN,Nick Lowery,K,5/27/1956,Dartmouth  
1986,KAN,David Lutz,OG,12/20/1959,Georgia Tech  
1986,KAN,Bill Maas,DT,3/2/1962,Pittsburgh  
1986,KAN,Henry Marshall,WR,8/9/1954,Missouri  
1986,KAN,Ken McAlister,LB,4/15/1960,San Francisco  
1986,KAN,Larry Moriarty,RB,4/24/1958,Notre Dame  
1986,KAN,Stephone Paige,WR,10/15/1961,Fresno State  
1986,KAN,Whitney Paul,LB,10/8/1953,Colorado  
1986,KAN,Aaron Pearson,LB,8/22/1964,Mississippi State  
1986,KAN,J.C. Pearson,DB,8/17/1963,Washington  
1986,KAN,Mike Pruitt,RB,4/3/1954,Purdue  
1986,KAN,Scott Radecic,LB,6/14/1962,Penn State  
1986,KAN,Mark Robinson,DB,9/13/1962,Penn State  
1986,KAN,Kevin Ross,DB,1/16/1962,Temple  
1986,KAN,Jim Rourke,OT,2/10/1957,Boston College  
1986,KAN,Frank Seurer,QB,8/16/1962,Kansas  
1986,KAN,Chris Smith,RB,6/1/1963,Notre Dame  
1986,KAN,Jeff Smith,RB,3/22/1962,Nebraska  
1986,KAN,Gary Spani,LB,1/9/1956,Kansas State  
1986,KAN,Art Still,DE,12/5/1955,Kentucky  
1986,MIA,Bob Baumhower,DT,8/4/1955,Alabama  
1986,MIA,Woody Bennett,RB,3/24/1955,Miami  
1986,MIA,Doug Betters,DE,6/11/1956,Nevada  
1986,MIA,Glenn Blackwood,DB,2/23/1957,Texas  
1986,MIA,Lyle Blackwood,DB,5/2/1951,Texas Christian  
1986,MIA,Jay Brophy,LB,7/27/1960,Miami  
1986,MIA,Bud Brown,DB,4/19/1961,Southern Mississippi  
1986,MIA,Donald Brown,DB,11/28/1963,Maryland  
1986,MIA,Mark Brown,LB,7/18/1961,Purdue  
1986,MIA,Bob Brudzinski,LB,1/1/1955,Ohio State  
1986,MIA,Joe Carter,RB,6/23/1962,Alabama  
1986,MIA,Mike Charles,DT,9/23/1962,Syracuse  
1986,MIA,Mark Clayton,WR,4/8/1961,Louisville  
1986,MIA,Ron Davenport,RB,12/22/1962,Louisville  
1986,MIA,Jeff Dellenbach,OG,2/14/1963,Wisconsin  
1986,MIA,Mark Duper,WR,1/25/1959,Northwestern State  
1986,MIA,Craig Ellis,RB,1/26/1961,San Diego State  
1986,MIA,Jerome Foster,DE,7/25/1960,Ohio State  
1986,MIA,Roy Foster,OG,5/24/1960,Southern California  
1986,MIA,David Frye,LB,6/21/1961,Purdue  
1986,MIA,Jon Giesler,OT,12/23/1956,Michigan  
1986,MIA,Cleveland Green,OT,9/11/1957,Southern  
1986,MIA,Hugh Green,LB,7/27/1959,Pittsburgh  
1986,MIA,Lorenzo Hampton,RB,3/12/1962,Florida  
1986,MIA,Bruce Hardy,TE,6/1/1956,Arizona State  
1986,MIA,Andy Hendel,LB,3/4/1961,North Carolina State  
1986,MIA,Jim Jensen,WR,11/14/1958,Boston University  
1986,MIA,Dan Johnson,TE,5/17/1960,Iowa State  
1986,MIA,William Judson,DB,3/26/1959,South Carolina State  
1986,MIA,Greg Koch,OT,6/14/1955,Arkansas  
1986,MIA,Larry Kolic,LB,8/31/1963,Ohio State  
1986,MIA,Mike Kozlowski,DB,2/24/1956,Colorado  
1986,MIA,Paul Lankford,DB,6/15/1958,Penn State  
1986,MIA,Larry Lee,OG,9/10/1959,UCLA  
1986,MIA,Ronnie Lee,OT,12/24/1956,Baylor  
1986,MIA,George Little,DE,6/27/1963,Iowa  
1986,MIA,Dan Marino,QB,9/15/1961,Pittsburgh  
1986,MIA,Don McNeal,DB,5/6/1958,Alabama  
1986,MIA,Mack Moore,DE,3/4/1959,Texas A&M  
1986,MIA,Nat Moore,WR,9/19/1951,Florida  
1986,MIA,Alex Moyer,LB,10/25/1963,Northwestern  
1986,MIA,Tony Nathan,RB,12/14/1956,Alabama  
1986,MIA,John Offerdahl,LB,8/17/1964,Western Michigan  
1986,MIA,James Pruitt,WR,1/29/1964,Cal State-Fullerton  
1986,MIA,Fuad Reveiz,K,2/24/1963,Tennessee  
1986,MIA,Fred Robinson,DE,10/22/1961,Miami  
1986,MIA,Reggie Roby,P,7/30/1961,Iowa  
1986,MIA,Donovan Rose,DB,3/9/1957,Hampton  
1986,MIA,Jackie Shipp,LB,3/17/1962,Oklahoma  
1986,MIA,Mike Smith,DB,10/24/1962,Texas-El Paso  
1986,MIA,Brian Sochia,DT,7/2/1961,Northwestern Oklahoma State  
1986,MIA,Jack Squirek,LB,2/16/1959,Illinois  
1986,MIA,Dwight Stephenson,C,11/20/1957,Alabama  
1986,MIA,Don Strock,QB,11/27/1950,Virginia Tech  
1986,MIA,Johnny Taylor,LB,6/21/1961,Hawaii  
1986,MIA,Reyna Thompson,DB,8/28/1963,Baylor  
1986,MIA,Tom Toth,OG,5/23/1962,Western Michigan  
1986,MIA,T.J. Turner,DE,5/16/1963,Houston  
1986,MIN,Alfred Anderson,RB,8/4/1961,Baylor  
1986,MIN,Walker Lee Ashley,LB,7/28/1960,Penn State  
1986,MIN,Rufus Bess,DB,9/13/1956,South Carolina State  
1986,MIN,Steve Bono,QB,5/11/1962,UCLA  
1986,MIN,Brent Boyd,OG,3/23/1957,UCLA  
1986,MIN,Ted Brown,RB,2/15/1957,North Carolina State  
1986,MIN,Joey Browner,DB,5/15/1960,Southern California  
1986,MIN,Anthony Carter,WR,9/17/1960,Michigan  
1986,MIN,Greg Coleman,P,9/9/1954,Florida A&M  
1986,MIN,Chris Doleman,DE,10/16/1961,Pittsburgh  
1986,MIN,Neil Elshire,DE,3/8/1958,Oregon  
1986,MIN,David Evans,DB,5/1/1959,Central Arkansas  
1986,MIN,Neal Guggemos,DB,6/14/1964,St. Thomas (MN)  
1986,MIN,Jim Gustafson,WR,3/16/1961,St. Thomas (MN)  
1986,MIN,John Harris,DB,6/13/1956,Arizona State  
1986,MIN,Carl Hilton,TE,2/28/1964,Houston  
1986,MIN,Issiac Holt,DB,10/4/1962,Alcorn State  
1986,MIN,Jim Hough,OG,8/4/1956,Utah State  
1986,MIN,David Howard,LB,12/8/1961,Long Beach State  
1986,MIN,Dave Huffman,OG,4/4/1957,Notre Dame  
1986,MIN,Tim Irwin,OT,12/13/1958,Tennessee  
1986,MIN,Hassan Jones,WR,7/2/1964,Florida State  
1986,MIN,Steve Jordan,TE,1/10/1961,Brown  
1986,MIN,Tommy Kramer,QB,3/7/1955,Rice  
1986,MIN,Carl Lee,DB,4/6/1961,Marshall  
1986,MIN,Leo Lewis,WR,9/17/1956,Missouri  
1986,MIN,Kirk Lowdermilk,C,4/10/1963,Ohio State  
1986,MIN,Mike Lush,DB,4/18/1958,East Stroudsburg  
1986,MIN,Mark MacDonald,OG,4/30/1961,Boston College  
1986,MIN,Chris Martin,LB,12/19/1960,Auburn  
1986,MIN,Doug Martin,DE,5/22/1957,Washington  
1986,MIN,Keith Millard,DT,3/18/1962,Washington State  
1986,MIN,Kyle Morrell,DB,10/9/1963,Brigham Young  
1986,MIN,Mike Mularkey,TE,11/19/1961,Florida  
1986,MIN,Mark Mullaney,DE,4/30/1953,Colorado State  
1986,MIN,Chuck Nelson,K,2/23/1960,Washington  
1986,MIN,Darrin Nelson,RB,1/2/1959,Stanford  
1986,MIN,Tim Newton,DT,3/23/1963,Florida  
1986,MIN,Joe Phillips,DT,7/15/1963,Southern Methodist  
1986,MIN,Buster Rhymes,WR,1/27/1962,Oklahoma  
1986,MIN,Allen Rice,RB,4/5/1962,Baylor  
1986,MIN,Gerald Robinson,DE,5/4/1963,Auburn  
1986,MIN,Curtis Rouse,OG,7/13/1960,Tennessee-Chattanooga  
1986,MIN,Jeff Schuh,LB,5/22/1958,Minnesota  
1986,MIN,Jesse Solomon,LB,11/4/1963,Florida State  
1986,MIN,Mike Stensrud,DT,2/19/1956,Iowa State  
1986,MIN,Scott Studwell,LB,8/27/1954,Illinois  
1986,MIN,Dennis Swilley,C,6/28/1955,North Texas  
1986,MIN,Terry Tausch,OT,2/5/1959,Texas  
1986,MIN,Willie Teal,DB,12/20/1957,Louisiana State  
1986,MIN,Wade Wilson,QB,2/1/1959,Texas A&M-Commerce  
1986,MIN,Wayne Wilson,RB,9/4/1957,Shepherd  
1986,MIN,Gary Zimmerman,OT,12/13/1961,Oregon  
1986,NEW,Bill Bain,OG,8/9/1952,Southern California  
1986,NEW,Greg Baty,TE,8/28/1964,Stanford  
1986,NEW,Mel Black,LB,2/2/1962,Eastern Illinois  
1986,NEW,Don Blackmon,LB,3/14/1958,Tulsa  
1986,NEW,Jim Bowman,DB,10/26/1963,Central Michigan  
1986,NEW,Pete Brock,C,7/14/1954,Colorado  
1986,NEW,Rich Camarillo,P,11/29/1959,Washington  
1986,NEW,Raymond Clayborn,DB,1/2/1955,Texas  
1986,NEW,Tony Collins,RB,5/27/1959,East Carolina  
1986,NEW,Steve Doig,LB,3/28/1960,New Hampshire  
1986,NEW,Reggie Dupard,RB,10/30/1963,Southern Methodist  
