Date,Team,Acquired,Relinquished,Notes
1994-04-25,Broncos,&bull; Randy Fuller,,fourth round pick (#123 overall)
1994-04-25,Broncos,Tom Nalen,,seventh round pick (#218 overall)
1994-04-25,Browns,&bull; Andre Hewitt,,seventh round pick (#203 overall)
1994-04-25,Browns,&bull; Isaac Booth,,fifth round pick (#141 overall)
1994-04-25,Browns,Robert Strait,,sixth round pick (#171 overall)
1994-04-25,Buccaneers,&bull; Bernard Carter,,sixth round pick (#165 overall)
1994-04-25,Buccaneers,&bull; Pete Pierson,,fifth round pick (#136 overall)
1994-04-25,Buccaneers,Jim Pyne,,seventh round pick (#200 overall)
1994-04-25,Cardinals,&bull; Anthony Redmon,,fifth round pick (#139 overall)
1994-04-25,Cardinals,&bull; Frank Harvey,,seventh round pick (#204 overall)
1994-04-25,Cardinals,&bull; John Reece,,fourth round pick (#113 overall)
1994-04-25,Cardinals,&bull; Terry Samuels,,sixth round pick (#172 overall)
1994-04-25,Chargers,&bull; Rodney Harrison,,fifth round pick (#145 overall)
1994-04-25,Chargers,&bull; Tony Vinson,,fifth round pick (#160 overall)
1994-04-25,Chargers,Zane Beehn,,seventh round pick (#207 overall)
1994-04-25,Chiefs,&bull; Anthony Daigle,,sixth round pick (#185 overall)
1994-04-25,Chiefs,&bull; Bracey Walker,,fourth round pick (#127 overall)
1994-04-25,Chiefs,&bull; James Burton,,fifth round pick (#151 overall)
1994-04-25,Chiefs,&bull; Rob Waldrop,,fifth round pick (#156 overall)
1994-04-25,Chiefs,&bull; Steve Matthews,,seventh round pick (#199 overall)
1994-04-25,Chiefs,&bull; Tracy Greene,,seventh round pick (#219 overall)
1994-04-25,Colts,&bull; Bradford Banta / Brad Banta,,fourth round pick (#106 overall)
1994-04-25,Colts,&bull; John Covington,,fifth round pick (#133 overall)
1994-04-25,Colts,&bull; Lamont Warren,,sixth round pick (#164 overall)
1994-04-25,Colts,Lance Teichelman,,seventh round pick (#196 overall)
1994-04-25,Cowboys,&bull; DeWayne Dotson / Dewane Dotson,,fourth round pick (#131 overall)
1994-04-25,Cowboys,&bull; past considerations (?),&bull; 1994 seventh round pick (#217-Rob Holmberg),trade with Raiders
1994-04-25,Cowboys,&bull; Toddrick McIntosh,,seventh round pick (#216 overall)
1994-04-25,Cowboys,&bull; Willie Jackson (c),,fourth round pick (#109 overall)
1994-04-25,Dolphins,&bull; Brant Broyer,,sixth round pick (#177 overall)
1994-04-25,Dolphins,&bull; Ronnie Woolfork,,fourth round pick (#112 overall)
1994-04-25,Dolphins,&bull; Sean Hill,,seventh round pick (#214 overall)
1994-04-25,Dolphins,&bull; William Gaines,,fifth round pick (#147 overall)
1994-04-25,Eagles,&bull; Mark Montgomery,,seventh round pick (#206 overall)
1994-04-25,Eagles,&bull; Marvin Goodwin,,fifth round pick (#144 overall)
1994-04-25,Eagles,&bull; Mitch Berger,,sixth round pick (#193 overall)
1994-04-25,Eagles,&bull; Ryan McCoy,,sixth round pick (#174 overall)
1994-04-25,Falcons,&bull; Harrison Houston,,fifth round pick (#138 overall)
1994-04-25,Falcons,&bull; Jamal Anderson,,seventh round pick (#201 overall)
1994-04-25,Falcons,&bull; Mitch Davis,,fourth round pick (#118 overall)
1994-04-25,Falcons,&bull; Perry Klein,,fourth round pick (#111 overall)
1994-04-25,Giants,&bull; Chad Bratzke,,fifth round pick (#155 overall)
1994-04-25,Giants,&bull; Chris Maumalanga,,fourth round pick (#128 overall)
1994-04-25,Giants,Jason Winrow,,sixth round pick (#186 overall)
1994-04-25,Jets,&bull; Fred Lester,,sixth round pick (#173 overall)
1994-04-25,Jets,&bull; Glenn Foley,,seventh round pick (#208 overall)
1994-04-25,Jets,&bull; Horace Morris,,fifth round pick (#152 overall)
1994-04-25,Jets,&bull; Orlando Parker,,fourth round pick (#117 overall)
1994-04-25,Lions,&bull; Jocelyn Borgella,,sixth round pick (#183 overall)
1994-04-25,Lions,&bull; Tom Beer,,seventh round pick (#215 overall)
1994-04-25,Lions,&bull; Tony Semple,,fifth round pick (#154 overall)
1994-04-25,Lions,&bull; Vaughn Bryant,,fourth round pick (#124 overall)
1994-04-25,Oilers,&bull; Barron Wortham,,sixth round pick (#194 overall)
1994-04-25,Oilers,&bull; Jon Reid,,fifth round pick (#161 overall)
1994-04-25,Oilers,&bull; Lee Gissendaner,,sixth round pick (#187 overall)
1994-04-25,Oilers,&bull; Lemanski Hall,,seventh round pick (#220 overall)
1994-04-25,Oilers,&bull; Michael Davis,,fourth round pick (#119 overall)
1994-04-25,Oilers,&bull; Roderick Lewis / Rod Lewis,,fifth round pick (#157 overall)
1994-04-25,Oilers,&bull; Sean Jackson,,fourth round pick (#129 overall)
1994-04-25,Packers,&bull; Bill Schroeder,,sixth round pick (#181 overall)
1994-04-25,Packers,&bull; Dorsey Levens,,fifth round pick (#149 overall)
1994-04-25,Packers,&bull; Ruffin Hamilton,,sixth round pick (#175 overall)
1994-04-25,Packers,&bull; Terry Mickens,,fifth round pick (#146 overall)
1994-04-25,Patriots,&bull; Darrell Mitchell (b),,sixth round pick (#176 overall)
1994-04-25,Patriots,&bull; Jay Walker,,seventh round pick (#198 overall)
1994-04-25,Patriots,&bull; Marty Moore,,seventh round pick (#222 overall)
1994-04-25,Patriots,&bull; Max Lane,,sixth round pick (#168 overall)
1994-04-25,Patriots,&bull; Rich Tylski,,signed free agent
1994-04-25,Patriots,&bull; Steve Hawkins,,sixth round pick (#166 overall)
1994-04-25,Raiders,&bull; 1994 seventh round pick (#217-Rob Holmberg),&bull; past considerations (?),trade with Cowboys
1994-04-25,Raiders,&bull; Rob Holmberg,,seventh round pick (#217 overall)
1994-04-25,Raiders,&bull; Roosevelt Patterson,,fifth round pick (#159 overall)
1994-04-25,Rams,&bull; Ricky Brady / Rickey Brady (AP),,sixth round pick (#167 overall)
1994-04-25,Rams,&bull; Ronald Edwards,,sixth round pick (#189 overall)
1994-04-25,Rams,Chris Brantley,,fourth round pick (#108 overall)
1994-04-25,Redskins,&bull; Dexter Nottage,,sixth round pick (#163 overall)
1994-04-25,Redskins,&bull; Gus Frerotte,,seventh round pick (#197 overall)
1994-04-25,Redskins,&bull; Kurt Haws,,fourth round pick (#105 overall)
1994-04-25,Saints,&bull; Craig Novitsky,,fifth round pick (#143 overall)
1994-04-25,Saints,&bull; Doug Nussmeier,,fourth round pick (#116 overall)
1994-04-25,Saints,&bull; Herman Carroll,,fifth round pick (#142 overall)
1994-04-25,Saints,&bull; Lance Lundeberg,,seventh round pick (#213 overall)
1994-04-25,Seahawks,&bull; Carlester Crumpler,,seventh round pick (#202 overall)
1994-04-25,Seahawks,&bull; Larry Whigham,,fourth round pick (#110 overall)
1994-04-25,Steelers,&bull; Brice Abrams,,seventh round pick (#209 overall)
1994-04-25,Steelers,&bull; Eric Ravotti,,sixth round pick (#180 overall)
1994-04-25,Steelers,&bull; Gary Brown (d),,fifth round pick (#148 overall)
1994-04-25,Steelers,&bull; Jim Miller (c),,sixth round pick (#178 overall)
1994-04-25,Steelers,&bull; Myron Bell (b),,fifth round pick (#140 overall)
1994-04-25,Steelers,Ta'ase Faumui / Taase Faumui,,fourth round pick (#122 overall)
1994-04-25,Vikings,&bull; Andrew Jordan,,sixth round pick (#179 overall)
1994-04-25,Vikings,&bull; Mike Wells (b),,fourth round pick (#125 overall)
1994-04-25,Vikings,&bull; Shelly Hammonds,,fifth round pick (#134 overall)
1994-04-25,Vikings,Pete Bercich,,seventh round pick (#211 overall)
1994-04-25,Chargers,&bull; 1994 fifth round pick (#150-Darren Krein),&bull; 1995 fourth round pick (#126-Jason Kyle),trade with Seahawks
1994-04-25,Chargers,&bull; 1994 third round pick (#70-Andre Coleman)<br/>&bull; 1994 fifth round pick (#137-Aaron Laing),&bull; Marion Butts<br/>&bull; 1994 third round pick (#78-Ervin Collier),trade with Patriots
1994-04-25,Cowboys,&bull; 1994 sixth round pick (#191-Darren Studstill),&bull; 1995 fourth round pick (possibly #124-&bull; Ken Brown (A.)),trade with Rams
1994-04-25,Dolphins,,&bull; Jeff Hunter,lost free agent (to Buccaneers)
1994-04-25,Jets,&bull; 1994 third round pick (#94-Lou Benfatti)<br/>&bull; 1994 fifth round pick (#152-Horace Morris),&bull; 1994 third round pick (#80-Calvin Jones (d)),trade with Raiders
1994-04-25,Lions,,&bull; Jim Arnold,lost free agent (to Dolphins)
1994-04-25,Packers,&bull; 1994 fourth round pick (#126-Gabe Wilkins)<br/>&bull; 1994 sixth round pick (#169-Jay Kearney),&bull; 1994 fourth round pick (#120-Austin Robbins),trade with Raiders
1994-04-25,Patriots,&bull; Marion Butts<br/>&bull; 1994 third round pick (#78-Ervin Collier),&bull; 1994 third round pick (#70-Andre Coleman)<br/>&bull; 1994 fifth round pick (#137-Aaron Laing),trade with Chargers
1994-04-25,Raiders,&bull; 1994 fourth round pick (#120-Austin Robbins),&bull; 1994 fourth round pick (#126-Gabe Wilkins)<br/>&bull; 1994 sixth round pick (#169-Jay Kearney),trade with Packers
1994-04-25,Raiders,&bull; 1994 third round pick (#80-Calvin Jones (d)),&bull; 1994 third round pick (#94)<br/>&bull; 1994 fifth round pick (#152),trade with Jets
1994-04-25,Rams,&bull; 1995 fourth round pick (possibly #124-&bull; Ken Brown (A.)),&bull; 1994 sixth round pick (#191-Darren Studstill),trade with Cowboys
1994-04-25,Seahawks,&bull; 1995 fourth round pick (#126-Jason Kyle),&bull; 1994 fifth round pick (#150-Darren Krein),trade with Chargers
1994-04-25,Buccaneers,&bull; Jeff Hunter,,signed free agent (from Dolphins)
1994-04-25,Chargers,&bull; Aaron Laing,,fifth round pick (#137 overall)
1994-04-25,Chargers,&bull; Darren Krein,,fifth round pick (#150 overall)
1994-04-25,Dolphins,&bull; Jim Arnold,,signed free agent (from Lions)
1994-04-25,Cardinals,&bull; 1994 fourth round pick (#107-Perry Carter),&bull; 1994 fourth round pick (#121-John Burke)<br/>&bull; 1994 fifth round pick (#135-Pat O'Neill),trade with Patriots (per Orange County Register)
1994-04-25,Patriots,&bull; 1994 fourth round pick (#121-John Burke)<br/>&bull; 1994 fifth round pick (#135-Pat O'Neill),&bull; 1994 fourth round pick (#107-Perry Carter),trade with Cardinals (per Orange County Register)
1994-04-25,Cardinals,&bull; Perry Carter,,fourth round pick (#107 overall)
1994-04-25,Cardinals,&bull; Terry Irving (b),,fourth round pick (#115 overall)
1994-04-25,Cowboys,&bull; Darren Studstill,,sixth round pick (#191 overall)
1994-04-25,Packers,&bull; Gabe Wilkins,,fourth round pick (#126 overall)
1994-04-25,Packers,Jay Kearney,,sixth round pick (#169 overall)
1994-04-25,Packers,Paul Duckworth,,sixth round pick (#190 overall)
1994-04-25,Patriots,&bull; John Burke,,fourth round pick (#121 overall)
1994-04-25,Patriots,&bull; Pat O'Neill,,fifth round pick (#135 overall)
1994-04-25,Raiders,&bull; Austin Robbins,,fourth round pick (#120 overall)
1994-04-25,Raiders,&bull; Calvin Jones (d),,third round pick (#80 overall)
1994-04-26,Bears,,&bull; Craig Heyward (Ironhead Heyward),released
1994-04-26,Bears,&bull; Steve Walsh,,"signed free agent to a 1-year, $600K contract"
1994-04-26,Chiefs,&bull; Mark Collins,,signed to a 4-year contract
1994-04-26,Colts,,&bull; Bill Schultz,waived
1994-04-26,Colts,,&bull; Jason Burleson,waived
1994-04-26,Colts,,&bull; Michael Brandon,waived
1994-04-26,Steelers,&bull; Andre Allen,,signed
1994-04-26,Steelers,&bull; Chris Williams,,signed
1994-04-26,Steelers,&bull; Corey Holliday,,signed
1994-04-26,Steelers,&bull; Curtis Parker,,signed
1994-04-26,Steelers,&bull; Dom Calloway,,signed
1994-04-26,Steelers,&bull; Ed Robinson,,signed
1994-04-26,Steelers,&bull; Frank Adams,,signed
1994-04-26,Steelers,&bull; Latish Kingler,,signed
1994-04-26,Steelers,&bull; Michael Baker,,signed
1994-04-26,Steelers,&bull; Pat Scott,,signed
1994-04-26,Steelers,&bull; Pheathur Edwards,,signed
1994-04-26,Steelers,&bull; Walter Rasby / Walt Rasby,,signed undrafted free agent
1994-04-27,Saints,&bull; Wesley Walls,,signed free agent
1994-04-27,Seahawks,&bull; Jay Bellamy,,signed undrafted free agent
1994-04-28,Cardinals,&bull; Brent Alexander,,signed free agent
1994-04-28,Chargers,David Binn,,signed undrafted free agent
1994-04-28,Cowboys,&bull; Jeff Wilkins,,signed undrafted free agent
1994-04-28,Cowboys,&bull; Tony Richardson,,signed undrafted free agent
1994-04-28,Dolphins,&bull; Ethan Albright,,signed undrafted free agent
1994-04-28,Dolphins,&bull; Jay Williams,,signed free agent
1994-04-28,Lions,&bull; 1995 fifth round pick (#141-Stephen Boyd),&bull; Reggie Barrett,trade with Seahawks
1994-04-28,Packers,&bull; Kurt Warner,,signed undrafted free agent
1994-04-28,Seahawks,&bull; Reggie Barrett,&bull; 1995 fifth round pick (#141-Stephen Boyd),trade with Lions
1994-04-29,Chargers,&bull; Henry Caldwell,,signed undrafted free agent
1994-04-29,Dolphins,&bull; Shelton Quarles,,signed undrafted free agent
1994-04-29,Eagles,&bull; Jay Fiedler,,signed free agent
1994-04-29,Falcons,,&bull; Deion Sanders,"team rescinded status as transition player, making player an unrestricted free agent"
1994-04-29,Oilers,&bull; Rich Camarillo,,signed to a 2-year contract (date approximate)
1994-04-29,Seahawks,&bull; James McKnight,,signed free agent
1994-04-29,Bears,&bull; Jeff Graham (b),&bull; 1995 conditional fifth round pick (#151-Lethon Flowers),trade with Steelers
1994-04-29,Bills,,&bull; Gale Gilbert,lost free agent (to Chargers)
1994-04-29,Steelers,&bull; 1995 conditional fifth round pick (#151-Lethon Flowers),&bull; Jeff Graham (b),trade with Bears
1994-04-29,Chargers,&bull; Gale Gilbert,,signed free agent (from Bills) to a 2-year contract
1994-04-29,Bears,&bull; Jeff Graham (b),,"re-signed to a 2-year, $1M contract / $700K per year contract (ChiTrib)"
1994-05-01,Bears,&bull; Tony Carter,,signed undrafted free agent (date approximate)
1994-05-01,Chiefs,&bull; Anthony Davis (D.),,signed free agent (date approximate)
1994-05-02,49ers,&bull; 1995 fourth round pick (#119-Dave Barr),&bull; Steve Bono,trade with Chiefs
1994-05-02,Broncos,&bull; Dwayne Carswell,,signed undrafted free agent
1994-05-02,Browns,&bull; Rick Lyle,,signed free agent
1994-05-02,Chiefs,&bull; Steve Bono,&bull; 1995 fourth round pick (#119-Dave Barr),trade with 49ers
1994-05-02,Chiefs,&bull; Vaughn Booker,,signed free agent
1994-05-02,Cowboys,Matt Joyce,,signed free agent
1994-05-02,Falcons,&bull; Tyoka Jackson,,signed free agent
1994-05-02,Jets,&bull; Rob Davis,,signed free agent
1994-05-03,Falcons,&bull; Todd Peterson,,signed free agent
1994-05-04,Cowboys,&bull; Rodney Peete,,signed free agent
1994-05-06,Chargers,&bull; Mike Hollis,,signed free agent
1994-05-06,Eagles,&bull; Jeffrey Lurie,&bull; Norman Braman,transfer of ownership approved by NFL owners
1994-05-06,Rams,&bull; Chris Chandler,,signed free agent
1994-05-06,Vikings,&bull; Chris Walsh,,signed free agent
1994-05-09,Cardinals,,&bull; Mario Brunson,released
1994-05-09,Cardinals,,Eduardo Gonzalez,released
1994-05-09,Steelers,&bull; Justin Strzelczyk,,signed
1994-05-11,Browns,,&bull; Brad Goebel,team withdrew contract offer
1994-05-11,Browns,,&bull; Ed King (b),team withdrew contract offer
1994-05-11,Lions,&bull; Scott Kaplan,,signed
1994-05-11,Lions,John Oglesby,,signed
1994-05-13,Bengals,,&bull; Dan Stowers,waived
1994-05-13,Bengals,,&bull; Lee Harris,waived
1994-05-13,Bengals,,&bull; Thomas Rayam / Tom Rayam,waived
1994-05-13,Bengals,,John Brantley (a)?,waived
1994-05-13,Chargers,&bull; Sean Vanhorse,,signed to a 2-year contract
1994-05-13,Falcons,,&bull; Huey Richardson,released
1994-05-13,Falcons,&bull; Cedric Figaro,,signed
1994-05-13,Falcons,&bull; Lonnie Turner,,signed
1994-05-13,Falcons,&bull; Niko Noga,,signed
1994-05-13,Steelers,&bull; Brice Abrams,,signed seventh round pick
1994-05-13,Broncos,,&bull; Tyrone Braxton,lost free agent (to Dolphins)
1994-05-13,Dolphins,&bull; Tyrone Braxton,,signed free agent (from Broncos) to a 2-year contract
1994-05-18,Vikings,&bull; Bryan Barker,,signed free agent
1994-06-01,Browns,&bull; Andy McCollum,,signed free agent
1994-06-02,Chiefs,&bull; Bernardo Harris,,signed free agent
1994-06-02,Cowboys,&bull; Alvin Harper,,"signed to a 1-year, $866K contract"
1994-06-03,Bears,&bull; Kevin Butler,,"re-signed to a 3-year, $1.75M contract"
1994-06-03,Browns,&bull; Thomas Johnson / Pepper Johnson,,signed free agent to a 2-year contract
1994-06-03,Cardinals,,&bull; John Booty,waived
1994-06-03,Cardinals,,Chuck Cecil,waived
1994-06-03,Cardinals,&bull; Jim McMahon,,signed free agent
1994-06-03,Cardinals,&bull; Lorenzo Lynch,,re-signed unrestricted free agent
1994-06-03,Cardinals,&bull; Terry Hoage,,signed free agent to a multi-year contract
1994-06-03,Dolphins,&bull; Tim Bowens,,"signed first round pick to a 4-year, reported $3M+ contract"
1994-06-03,Falcons,&bull; Lester Archambeau,&bull; James Milling,trade with Packers
1994-06-03,Jets,&bull; Art Monk,,signed free agent
1994-06-03,Packers,&bull; James Milling,&bull; Lester Archambeau,trade with Falcons
1994-06-03,Vikings,,&bull; Carl Lee,released
1994-06-08,Saints,&bull; Joe Johnson (c),,signed first round pick to a 4-year contract
1994-06-21,Bears,&bull; Dennis Collier,,signed seventh round pick to a 3-year contract
1994-06-21,Bears,&bull; Lloyd Hill,,signed sixth round pick to a 3-year contract
1994-06-21,Bears,&bull; Raymont Harris,,signed fourth round pick to a 3-year contract
1994-06-21,Bears,John Thierry,,"signed first round pick to a 5-year, $5M+ contract"
1994-06-21,Eagles,&bull; Corey Barlow,,re-signed free agent to a 1-year contract
1994-06-21,Falcons,&bull; Craig Heyward (Ironhead Heyward),,signed free agent to a 1-year contract
1994-06-21,Jets,&bull; Anthony Johnson (a)?,,signed
1994-06-21,Jets,&bull; Glenn Foley,,signed seventh round pick
1994-06-21,Jets,Ryan Yarborough,,signed second round pick
1994-06-21,Raiders,&bull; Jerry Ball,,signed
1994-06-27,Buccaneers,,&bull; Bruce Reimers,waived
1994-06-27,Buccaneers,,&bull; Joe King,waived
1994-06-27,Oilers,&bull; Rich Snead,,hired as pro personnel director
1994-06-27,Raiders,&bull; Steve Hendrickson,,signed
1994-06-29,Cowboys,&bull; Mark Stepnoski,,signed to a 1-year contract
1994-06-29,Redskins,&bull; Monty Coleman,,signed
1994-07-01,Bengals,,&bull; Reggie Rembert,waived (date approximate)
1994-07-01,Browns,&bull; Derrick Alexander (a),,signed first round pick (date approximate)
1994-07-01,Eagles,&bull; Mike Zordich,,signed free agent (date approximate)
1994-07-01,Packers,&bull; Gary Brown (d),,claimed off waivers (from Steelers) (date approximate)
1994-07-01,Packers,&bull; Lenny McGill,,signed free agent (date approximate)
1994-07-01,Raiders,&bull; John Fox,,hired as defensive coordinator (date approximate)
1994-07-01,Rams,&bull; 1995 seventh round pick (#220-Herman O'Berry),&bull; Jim Everett,trade with Saints (date approximate)
1994-07-01,Saints,&bull; Jim Everett,&bull; 1995 seventh round pick (#220-Herman O'Berry),trade with Rams (date approximate)
1994-07-01,Cowboys,,&bull; Jimmie Jones,lost free agent (to Rams) (date approximate)
1994-07-01,Falcons,,&bull; Chris Miller (a),lost free agent (to Rams) (date approximate)
1994-07-01,Packers,,&bull; Tony Bennett,lost free agent (to Colts) (date approximate)
1994-07-01,Saints,,&bull; Floyd Turner,lost free agent (to Colts) (date approximate)
1994-07-01,Colts,&bull; Floyd Turner,,signed free agent (from Saints) (date approximate)
1994-07-01,Colts,&bull; Tony Bennett,,signed free agent (from Packers) (date approximate)
1994-07-01,Rams,&bull; Chris Miller (a),,signed free agent (from Falcons) (date approximate)
1994-07-01,Rams,&bull; Jimmie Jones,,signed free agent (from Cowboys) (date approximate)
1994-07-06,Buccaneers,&bull; Pete Pierson,,signed fifth round pick to a 3-year contract
1994-07-06,Falcons,,Keith Jack,released
1994-07-06,Falcons,,Reggie Furgeson,released
1994-07-06,Falcons,&bull; Mitch Davis,,signed fourth round pick to a 3-year contract
1994-07-06,Giants,&bull; Ernie Accorsi,,hired as assistant GM
1994-07-06,Giants,&bull; Harry Hulmes,,promoted to special assistant to the GM
1994-07-06,Packers,&bull; James Dukes / Jamie Dukes,,signed
1994-07-06,Saints,,&bull; Jerold Jeffcoat,waived
1994-07-06,Saints,,&bull; Thomas Orr,waived
1994-07-06,Seahawks,,&bull; Kevin Murphy (a)?,waived
1994-07-06,Seahawks,&bull; Carlester Crumpler,,signed seventh round pick
1994-07-06,Seahawks,&bull; Joe Nash,,signed
1994-07-12,Chiefs,&bull; William White / Will White,&bull; undisclosed conditional pick (1996 #91-Reggie Brown),trade with Lions
1994-07-12,Lions,&bull; undisclosed conditional pick (1996 #91-Reggie Brown),&bull; William White / Will White,trade with Chiefs
1994-07-12,Vikings,&bull; David Dixon,,signed free agent
1994-07-14,Buccaneers,Jim Pyne,,signed to a 2-year contract
1994-07-14,Colts,,&bull; Michael Brandon,player left training camp
1994-07-14,Cowboys,&bull; Bill Bates (b),,signed to a 1-year contract
1994-07-14,Cowboys,&bull; Dale Hellestrae,,signed to a 1-year contract
1994-07-14,Eagles,,&bull; Heath Sherman,released
1994-07-14,Eagles,&bull; Chris Barry,,signed
1994-07-14,Eagles,&bull; Klint Hall,,signed
1994-07-14,Giants,&bull; Brad Daluiso,,signed
1994-07-14,Giants,&bull; Corey Widmer,,signed
1994-07-14,Giants,&bull; Gary Harell,,signed
1994-07-14,Giants,&bull; Jarvis Williams,,signed
1994-07-14,Giants,&bull; Kenyon Rasheed,,signed
1994-07-14,Giants,Willie Beamon,,signed
1994-07-14,Jets,&bull; Aaron Glenn,,signed first round pick to a 4-year contract
1994-07-14,Packers,&bull; Brett Favre,,re-signed restricted free agent to a 5-year contract
1994-07-14,Packers,&bull; Guy McIntyre,,signed
1994-07-14,Packers,&bull; Kevin Williams,,re-signed
1994-07-14,Raiders,&bull; Austin Robbins,,signed fourth round pick
1994-07-14,Raiders,&bull; Calvin Jones (d),,signed third round pick
1994-07-14,Raiders,&bull; Scott Davis,,signed
1994-07-14,Vikings,&bull; Al Noga,,signed to a 1-year contract
1994-07-14,Vikings,&bull; Dewayne Washington,,signed first round pick to a 4-year contract
1994-07-15,Lions,&bull; Broderick Thomas,,signed
1994-07-19,Browns,&bull; Bennie Thompson,,signed
1994-07-19,Eagles,,&bull; Mark Dixon,waived
1994-07-19,Eagles,,&bull; Matt Morrill,waived
1994-07-19,Eagles,,&bull; Reggie Lawrence,waived
1994-07-19,Eagles,,&bull; Ryan Tobin,waived
1994-07-19,Eagles,&bull; Jimmy Smith (Lee),,signed free agent
1994-07-19,Eagles,&bull; Mickey Pruitt,,signed free agent
1994-07-19,Giants,&bull; Gary Downs,,signed
1994-07-19,Jets,,&bull; Gary Beckford,waived
1994-07-19,Jets,,Craig Mitter,waived
1994-07-19,Jets,&bull; Tony Meola,,signed
1994-07-19,Packers,&bull; LeShon Johnson,,signed third round pick
1994-07-19,Packers,&bull; Ruffin Hamilton,,signed sixth round pick
1994-07-24,49ers,&bull; Ed McCaffrey,,signed free agent
1994-07-25,49ers,,&bull; Karl Wilson (b),waived
1994-07-25,Bills,,&bull; Shawn Lawson,released
1994-07-25,Bills,Mike Dumas,,signed
1994-07-25,Colts,,&bull; Cassius Ware,waived
1994-07-25,Colts,,&bull; Wesley Carroll,waived
1994-07-25,Colts,,Todd Ericson,waived
1994-07-25,Colts,&bull; Marshall Faulk,,signed first round pick to a 7-year contract
1994-07-25,Colts,&bull; Scott Radecic,,re-signed
1994-07-25,Colts,&bull; Tony McCoy,,re-signed
1994-07-25,Dolphins,,&bull; Eddie Blake,released
1994-07-25,Dolphins,&bull; Houston Hoover,,signed
1994-07-25,Dolphins,&bull; Kevin Glenn,,signed
1994-07-25,Lions,&bull; Larry Tharpe,,signed
1994-08-02,49ers,&bull; Rickey Jackson,,signed to a 1-year contract
1994-08-02,Cardinals,&bull; Fred McAfee,,signed free agent
1994-08-02,Packers,&bull; Jeff Thomason,,claimed off waivers
1994-08-10,Bengals,,&bull; Chuck Bradley (a),waived
1994-08-10,Bengals,,&bull; Donnell Johnson,waived
1994-08-10,Bengals,,&bull; Elbert Turner,waived
1994-08-10,Bengals,,&bull; Jey Phillips,waived
1994-08-10,Bengals,,&bull; Ryan Benjamin,waived
1994-08-10,Bengals,,Jake Kelchner,waived
1994-08-10,Browns,&bull; Doug Dawson,,signed
1994-08-10,Falcons,&bull; Jim Ritcher,,signed free agent to a 1-year contract
1994-08-10,Patriots,,&bull; Leonard Russell,team relinquished rights
1994-08-10,Patriots,&bull; Leroy Thompson (b),&bull; 1995 fourth round pick (#120-Oliver Gibson),trade with Steelers
1994-08-10,Steelers,&bull; 1995 fourth round pick (#120-Oliver Gibson),&bull; Leroy Thompson (b),trade with Patriots
1994-08-15,Packers,,Tim Kalal,released (date approximate)
1994-08-17,Chiefs,,&bull; Bruce Pickens,waived
1994-08-21,Patriots,,&bull; Richard Griffith,waived
1994-08-22,49ers,,&bull; Jon Kirksey,waived
1994-08-22,49ers,,&bull; Karl Wilson (b),waived
1994-08-22,49ers,,&bull; Ron Collins,waived
1994-08-22,49ers,,Bret Kwarta,waived
1994-08-22,49ers,&bull; Adam Walker,,signed
1994-08-22,49ers,&bull; Toi Cook,,signed to a 1-year contract
1994-08-22,Bills,,&bull; Anthony Abrams,waived
1994-08-22,Bills,,&bull; Anthony Fieldings,waived
1994-08-22,Bills,,&bull; Darrick Branch,waived
1994-08-22,Bills,,&bull; Greg Evans,waived
1994-08-22,Bills,,&bull; John Bock,waived
1994-08-22,Bills,,&bull; Matt Rodgers,waived
1994-08-22,Bills,,&bull; Mike Collins,waived
1994-08-22,Bills,,&bull; Orlando McKay,waived
1994-08-22,Bills,,&bull; Scott Stephen,waived
1994-08-22,Bills,,&bull; Tim Tindale,waived
1994-08-22,Bills,,Don Silvestri,waived
1994-08-22,Bills,,Sonny Feexico,waived
1994-08-22,Bills,,Todd Herget,waived
1994-08-22,Broncos,,&bull; Billy Lofton,waived
1994-08-22,Broncos,,&bull; Brian Dyet,waived
1994-08-22,Broncos,,&bull; Chuck Snowden,waived
1994-08-22,Broncos,,&bull; Craig Ritter,waived
1994-08-22,Broncos,,&bull; Kevin Farkas,waived
1994-08-22,Broncos,,&bull; Olaf Hampel,waived
1994-08-22,Broncos,,&bull; Tim Mosley,waived
1994-08-22,Broncos,,Mario Cristobal,waived
1994-08-22,Browns,,&bull; Floyd Fields,waived
1994-08-22,Browns,,&bull; Robert Cobb,player left team
1994-08-22,Cardinals,,&bull; Anthony Owens,waived
1994-08-22,Cardinals,,&bull; Carl Bruere,waived
1994-08-22,Cardinals,,&bull; Darryl Milburn,waived
1994-08-22,Cardinals,,&bull; J.J. Flournoy,waived
1994-08-22,Cardinals,,&bull; John Reece,waived
1994-08-22,Cardinals,,&bull; Lennie Jenkins,waived
1994-08-22,Cardinals,,&bull; Rob Wallow,waived
1994-08-22,Cardinals,,&bull; Scott Reagan,waived
1994-08-22,Cardinals,,&bull; Terry Vaughn,waived
1994-08-22,Cardinals,,&bull; Tracy Gordon,waived
1994-08-22,Cardinals,,&bull; Willie Wright (Willie Don Wright),waived
1994-08-22,Cardinals,,Jon Pinckney,waived
1994-08-22,Cardinals,,Rodney Turpin,waived
1994-08-22,Cardinals,,Will Furrer,waived
1994-08-22,Chargers,,&bull; Blaine Berger,waived
1994-08-22,Chargers,,&bull; Chris Johnson,waived
1994-08-22,Chargers,,&bull; Chris Thompson (a),waived
